brand_model_year,family car,fuel-efficient car,comfortable car,luxury car,sporty car,quiet car,commuter car,stylish car,affordable car,compact car,spacious car,sexy car
ACURA ILX 2016,0.0,0.42857142857142855,0.35714285714285715,1.0,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.7857142857142857,0.0,0.07142857142857142,0.0
ACURA ILX 2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0
ACURA MDX 2016,0.25,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.08333333333333333,1.0,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.0,0.25,0.0
ACURA MDX 2017,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0
ACURA RDX 2016,0.0,0.6111111111111112,1.0,0.2222222222222222,0.0,0.5555555555555556,0.0,0.05555555555555555,0.4444444444444444,0.16666666666666666,0.05555555555555555,0.0
ACURA RDX 2017,0.0,0.8333333333333334,1.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,1.0,0.5,0.16666666666666666,0.0
ACURA RLX 2016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.6
ACURA TLX 2016,0.0,0.4,0.65,0.5,0.4,1.0,0.25,0.5,0.35,0.0,0.0,0.0
ACURA TLX 2017,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
ALFA-ROMEO GIULIA 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI A3-SPORTBACK-E-TRON 2016,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
AUDI A3-SPORTBACK-E-TRON 2017,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI A3 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AUDI A4-ALLROAD 2017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI A4 2016,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0
AUDI A4 2017,0.0,1.0,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.0,0.2857142857142857,0.0
AUDI A6 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
AUDI A6 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUDI A7 2016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
AUDI A8 2016,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
AUDI Q3 2016,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
AUDI Q5 2016,0.0,0.75,0.75,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.75,0.0
AUDI Q5 2017,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI Q7 2017,0.0,0.18181818181818182,1.0,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.0,0.0,0.36363636363636365,0.0,0.0,0.0
AUDI S3 2016,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
AUDI S6 2016,0.0,0.0,1.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
AUDI S7 2016,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
AUDI S7 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
