brand_model_year,opinion
acura_ilx_2016,stupid screen
acura_ilx_2016,black screen
acura_ilx_2016,teenage car
acura_ilx_2016,excellent mileage
acura_ilx_2016,good system
acura_ilx_2016,inflexible structure
acura_ilx_2016,current system
acura_ilx_2016,snappy like
acura_ilx_2016,electronic safety
acura_ilx_2016,long distance
acura_ilx_2016,tall people
acura_ilx_2016,minor challenge
acura_ilx_2016,good product
acura_ilx_2016,good rate
acura_ilx_2016,reliable car
acura_ilx_2016,good rating
acura_ilx_2016,small radius
acura_ilx_2016,nice seat
acura_ilx_2016,high cost
acura_ilx_2016,peppy vr4
acura_ilx_2016,plus side
acura_ilx_2016,great handle
acura_ilx_2016,reliable feel
acura_ilx_2016,awesome brake
acura_ilx_2016,beautiful drive
acura_ilx_2016,long drive
acura_ilx_2016,full car
acura_ilx_2016,minus side
acura_ilx_2016,dual technology
acura_ilx_2016,clear coat
acura_ilx_2016,simple aspect
acura_ilx_2016,rough pavement
acura_ilx_2016,regular gas
acura_ilx_2016,big wheel
acura_ilx_2016,poor system
acura_ilx_2016,high settings.4
acura_ilx_2016,complicated system
acura_ilx_2016,good second
acura_ilx_2016,sheer pleasure
acura_ilx_2016,sudden burst
acura_ilx_2016,true car!2
acura_ilx_2016,low center
acura_ilx_2016,good handle
acura_ilx_2016,smooth start
acura_ilx_2016,due start
acura_ilx_2016,complicated line
acura_ilx_2016,won't!the car
acura_ilx_2016,good millage
acura_ilx_2016,easy car
acura_ilx_2016,huge improvement
acura_ilx_2016,pronounced end
acura_ilx_2016,direct injection
acura_ilx_2016,tad racer
acura_ilx_2016,loud exhaust
acura_ilx_2016,quiet luxury
acura_ilx_2016,worth luxury
acura_ilx_2016,real accent
acura_ilx_2016,huge fan
acura_ilx_2016,young audience
acura_ilx_2016,real leather
acura_ilx_2016,great combination
acura_ilx_2016,good offer
acura_ilx_2016,interior material
acura_ilx_2016,high revs
acura_ilx_2016,comfortable seat
acura_ilx_2016,beautiful commuter
acura_ilx_2016,reliable commuter
acura_ilx_2016,white model
acura_ilx_2016,interior noise
acura_ilx_2016,excellent detail
acura_ilx_2016,little detail
acura_ilx_2016,bad nothing
acura_ilx_2016,economical luxury
acura_ilx_2016,difficult appointment
acura_ilx_2016,due light
acura_ilx_2016,huge mistake
acura_ilx_2016,horrible color
acura_ilx_2016,new premium
acura_ilx_2016,white premium
acura_ilx_2016,odometer pedal
acura_ilx_2016,young commuter
acura_ilx_2016,outthe car
acura_ilx_2016,nice cockpit
acura_ilx_2016,small feel
acura_ilx_2016,main compmaint
acura_ilx_2016,expensive mower
acura_ilx_2016,great styling
acura_ilx_2016,japanese car
acura_ilx_2016,superior car
acura_ilx_2016,expensive car
acura_ilx_2016,great car
acura_ilx_2016,sporty entry
acura_ilx_2016,great feature
acura_ilx_2016,false assumption
acura_ilx_2016,happy engine
acura_ilx_2016,okay noise
acura_ilx_2016,lateral support
acura_ilx_2016,reasonable speed
acura_ilx_2016,odd feel
acura_ilx_2016,weightless feel
acura_ilx_2016,good position
